央卫综合,#genre#
湖南爱晚,http://php.jdshipin.com:8880/iptv.php?id=hngg
湖南电视剧,http://php.jdshipin.com:8880/iptv.php?id=hndsj

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024078203.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024078903.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV13,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024079003.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV13,http://www.yao87.com:4022/udp/239.76.246.93:1234

北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8

湖南测试(240824),#genre#

湖南经视,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-2.m3u8
湖南经视,http://xqr.us.kg/kds/hnst.php?id=hnjs
湖南经视,http://php.jdshipin.com:8880/iptv.php?id=hnjs
湖南都市,http://xqr.us.kg/kds/hnst.php?id=hnds
湖南都市,http://php.jdshipin.com:8880/iptv.php?id=hnds
湖南爱晚,http://xqr.us.kg/kds/hnst.php?id=hngg
湖南爱晚,http://php.jdshipin.com:8880/iptv.php?id=hngg
湖南电视剧,http://xqr.us.kg/kds/hnst.php?id=hndsj
湖南电视剧,http://php.jdshipin.com:8880/iptv.php?id=hndsj
湖南电视剧,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-10.m3u8
湖南电影,http://php.jdshipin.com:8880/iptv.php?id=hndy
湖南娱乐,http://xqr.us.kg/kds/hnst.php?id=hnyl
湖南娱乐,http://php.jdshipin.com:8880/iptv.php?id=hnyl
湖南娱乐,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-13.m3u8
湖南国际,http://xqr.us.kg/kds/hnst.php?id=hngj

湖南测试2(241019),#genre#

湖南经视,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-2.m3u8
快乐垂钓,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-3.m3u8
湖南国际,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-4.m3u8
金鹰卡通,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-5.m3u8
湖南都市,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-6.m3u8
金鹰纪实,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-7.m3u8
湖南爱晚,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-9.m3u8
湖南电视剧,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-10.m3u8
快乐购,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-11.m3u8
茶频道,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-12.m3u8
湖南娱乐,http://pili-live-snapshot.tv.hntvcloud.com/mg-tv/channel-13.m3u8


影视轮播测试(241019),#genre#
轮播电影1,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
轮播电影2,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
轮播电影3,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla

港·澳·台,#genre#
凤凰中文,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8$1920x1080
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8$1920x1080
凤凰资讯,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://58.144.154.93:80/qctv.fengshows.cn/live/0701phk72.m3u8         
凤凰香港,https://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8$1920x1080
凤凰卫视,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8576/.m3u8
凤凰卫视,http://211.72.65.236:8576/.m3u8

中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8

TVB娛樂新聞台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
東森超視HD,rtmp://f13h.mine.nu/sat/tv331
MOMOTVHD,rtmp://f13h.mine.nu/sat/tv761
大愛電視1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱電視2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8 
八大戲劇台HD,http://61.221.215.25:8800/hls/39/index.m3u8
八大綜合台HD,http://61.221.215.25:8800/hls/56/index.m3u8
三立戲劇台,http://61.221.215.25:8800/hls/41/index.m3u8
AMC電影台,http://61.221.215.25:8800/hls/43/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
ELEVEN體育1台,rtmp://f13h.mine.nu/sat/tv731 
ELEVEN體育2台,rtmp://f13h.mine.nu/sat/tv741
中國環球,http://live.cgtn.com/500/prog_index.m3u8
美亞電視台,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8 
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
香港佛陀台,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
生命電視台,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
唯心電視台,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8 
中旺電視台，http://38.64.72.148/hls/modn/list/4010/chunklist0.m3u8
大立電視台，http://www.dalitv.com.tw:4568/live/dali/index.m3u8
緯來體育，https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
公視,http://mywlkj.ddns.net:754/tv/tw6.php?id=46
大立電視台，http://www.dalitv.com.tw:4568/live/dali/index.m3u8

民視HD,rtmp://f13h.mine.nu/sat/tv051 
中視HD,rtmp://f13h.mine.nu/sat/tv091 
華視HD,rtmp://f13h.mine.nu/sat/tv111 
台視HD,rtmp://f13h.mine.nu/sat/tv071
东森超視HD,rtmp://f13h.mine.nu/sat/tv331 
ELEVEN體育1台，rtmp://f13h.mine.nu/sat/tv731
ELEVEN體育2台，rtmp://f13h.mine.nu/sat/tv741
緯來育樂，rtmp://f13h.mine.nu/sat/tv701
緯來日本，rtmp://f13h.mine.nu/sat/tv771
MoMo综合，rtmp://f13h.mine.nu/sat/tv761
东森超視HD，rtmp://f13h.mine.nu/sat/tv331
東森超視HD，rtmp://f13h.mine.nu/sat/tv331
MOMOTVHD，rtmp://f13h.mine.nu/sat/tv761

香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
星光综合,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
TVB娱乐新闻,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8

AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
JIB TV,http://61.221.215.25:8800/hls/51/index.m3u8
LISTEN ON SPOTIFY,http://61.221.215.25:8800/hls/58/index.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
纯享音乐,http://61.221.215.25:8800/hls/49/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
探索频道,http://61.221.215.25:8800/hls/1/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8

香港33台高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台高清,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台高清,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
4k👉修复全网,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4k👉动物全网,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
4K「时尚」台,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
4K「自然」台,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

香港34台全网,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8 
耀才財經,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8 
耀才財經,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8 
耀才財經,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000 
全球信息,http://61.221.215.25:8800/hls/1/index.m3u8
GTV八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
GTV少儿,http://61.221.215.25:8800/hls/40/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
aMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
discover亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
NHKworld,http://61.221.215.25:8800/hls/51/index.m3u8
GTV八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
GTV八大动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
GTV listen,http://61.221.215.25:8800/hls/58/index.m3u8


香港及云南酒店源,#genre#
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
耀才财经台 ,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经台 ,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
澳门卫视,http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
港台電視33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
台视,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻HD,https://epg.pw/stream/b63bf1df7bf1e2c47a873d3987c2d59a08d8e4dfed1e197bce7e791eb64eb16e.m3u8#https://epg.pw/stream/6fa1566ea8689cbf43afb55f899dc5ee945e1caabde5bfc367cc510aa794d313.m3u8
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
美亚,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8 
Korea TV,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8 
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8 
命理360,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8 
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8 

影视轮播,#genre#
邦德影院,http://maomao.kandiantv.cn/douyu1.php?id=9292499
爆笑解说,http://maomao.kandiantv.cn/douyu1.php?id=2660125
贝贝影院,http://maomao.kandiantv.cn/douyu1.php?id=431460
贝爷影厅2,http://maomao.kandiantv.cn/douyu1.php?id=36337
贝爷影院,http://maomao.kandiantv.cn/douyu1.php?id=252802
变种人片,http://maomao.kandiantv.cn/douyu1.php?id=9651304
表妹影院,http://maomao.kandiantv.cn/douyu1.php?id=5423
冰冰经典电影,http://maomao.kandiantv.cn/douyu1.php?id=74374
不一样的电影,http://maomao.kandiantv.cn/douyu1.php?id=2632223
带你看大片,http://maomao.kandiantv.cn/douyu1.php?id=2758565
电影剧场,http://maomao.kandiantv.cn/douyu1.php?id=7575350
动漫直播,http://maomao.kandiantv.cn/douyu1.php?id=1487654
豆瓣高分,http://maomao.kandiantv.cn/douyu1.php?id=8770422
鬼片恐怖,http://maomao.kandiantv.cn/douyu1.php?id=2935323
华语电影,http://maomao.kandiantv.cn/douyu1.php?id=3928
荒野建造者,http://maomao.kandiantv.cn/douyu1.php?id=9611578
霍格影片,http://maomao.kandiantv.cn/douyu1.php?id=8814650
解说柯南,http://maomao.kandiantv.cn/douyu1.php?id=9065082
经典港剧,http://maomao.kandiantv.cn/douyu1.php?id=4549169
惊悚影院,http://maomao.kandiantv.cn/douyu1.php?id=96577
开心锤锤,http://maomao.kandiantv.cn/douyu1.php?id=9018297
看美剧,http://maomao.kandiantv.cn/douyu1.php?id=8869614
科幻影视解说,http://maomao.kandiantv.cn/douyu1.php?id=3508304
可乐影院,http://maomao.kandiantv.cn/douyu1.php?id=20415
恐怖故事,http://maomao.kandiantv.cn/douyu1.php?id=2337939
恐怖经典,http://maomao.kandiantv.cn/douyu1.php?id=1165374
恐怖丧尸,http://maomao.kandiantv.cn/douyu1.php?id=263824
快乐一天,http://maomao.kandiantv.cn/douyu1.php?id=9236042
篮球人物,http://maomao.kandiantv.cn/douyu1.php?id=8434598
烂片的克星,http://maomao.kandiantv.cn/douyu1.php?id=9222870
梁山好汉,http://maomao.kandiantv.cn/douyu1.php?id=6785471
林正英,http://maomao.kandiantv.cn/douyu1.php?id=7356023
凛冬之地,http://maomao.kandiantv.cn/douyu1.php?id=8945323
刘德华,http://maomao.kandiantv.cn/douyu1.php?id=2516864
刘老师说电影,http://maomao.kandiantv.cn/douyu1.php?id=8317926
蚂蚱影院,http://maomao.kandiantv.cn/douyu1.php?id=6079455
漫威影片,http://maomao.kandiantv.cn/douyu1.php?id=6140589
女神电影,http://maomao.kandiantv.cn/douyu1.php?id=747764
片荒的日子,http://maomao.kandiantv.cn/douyu1.php?id=4258555
平安夜快乐,http://maomao.kandiantv.cn/douyu1.php?id=6863367
苹果影院,http://maomao.kandiantv.cn/douyu1.php?id=2793084
神乐影院,http://maomao.kandiantv.cn/douyu1.php?id=85894
特辑影院,http://maomao.kandiantv.cn/douyu1.php?id=3637778
童年回忆,http://maomao.kandiantv.cn/douyu1.php?id=8915074
王者峡谷,http://maomao.kandiantv.cn/douyu1.php?id=9360149
午夜故事,http://maomao.kandiantv.cn/douyu1.php?id=8722254
喜剧电影,http://maomao.kandiantv.cn/douyu1.php?id=9292492
下饭神剧,http://maomao.kandiantv.cn/douyu1.php?id=276200
下午茶时间,http://maomao.kandiantv.cn/douyu1.php?id=7246932
小宇影院,http://maomao.kandiantv.cn/douyu1.php?id=323876
悬疑犯罪,http://maomao.kandiantv.cn/douyu1.php?id=9171887
燕双鹰狄仁杰,http://maomao.kandiantv.cn/douyu1.php?id=3439096
一起看恐怖片,http://maomao.kandiantv.cn/douyu1.php?id=9412287
怡宝影院,http://maomao.kandiantv.cn/douyu1.php?id=434971
译制国语,http://maomao.kandiantv.cn/douyu1.php?id=2436390
宇哥电影,http://maomao.kandiantv.cn/douyu1.php?id=413573
粤语电影,http://maomao.kandiantv.cn/douyu1.php?id=6566671
最大的大好人,http://maomao.kandiantv.cn/douyu1.php?id=7528160
最新视频,http://maomao.kandiantv.cn/douyu1.php?id=1557505
成龙,http://zby.xjqxz.top/cldy/live.m3u8
周星驰,http://zby.xjqxz.top/live12/live.m3u8
李连杰,http://zby.xjqxz.top/lljdy/live.m3u8
电影轮播1,http://zby.xjqxz.top/live7/live.m3u8  
电影轮播2,http://zby.xjqxz.top/live5/live.m3u8  
国外大片,http://zby.xjqxz.top/live13/live.m3u8  
欧美大片,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
CHC电影,http://58.19.38.162:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://123.13.24.224:9992/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://180.213.174.231:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0

周星驰电影,https://www.goodiptv.club/douyu/122402
林正英电影,https://www.goodiptv.club/douyu/218859
港剧1台,https://www.goodiptv.club/douyu/4290711
港剧2台,https://www.goodiptv.club/douyu/5522351
港剧3台,https://www.goodiptv.club/douyu/5261342


🎬轮播电影240816 ,#genre#
邵氏影院㊣代,http://maomao.kandiantv.cn/douyu1.php?id=4246519
